"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"27","15","STRING Clusters","","Desmosome, and Ichthyosis vulgaris","3.17E-25","KRT1|DSG3|DSG1|DSC1|PKP1|KRT10|KRT2|KRT77|DSC3|LOR|IVL|FLG|CDSN|FLG2|CASP14","128","376|325|307|388|319|259|358|466|277|331|301|313|433|295|409","4.15E-28","","CL:34187","2.449894073778225","0"
"266","24","GO Biological Process","","Skin development","1.17E-24","TGM1|KRT5|KRT1|CSTA|KRT10|SCEL|KRT78|SPRR1B|KRT2|ALOXE3|KLK5|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|FLG2|CASP14|LCE6A","128","265|337|376|442|259|352|475|271|358|448|253|466|394|331|400|382|424|247|301|313|433|295|409|367","2.24E-28","","GO:0043588","2.393181413825384","0"
"83","17","GO Biological Process","","Keratinization","4.32E-22","TGM1|KRT5|KRT1|KRT78|SPRR1B|KRT2|KLK5|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|CASP14|LCE6A","128","265|337|376|475|271|358|253|466|394|331|400|382|424|247|301|409|367","1.38E-25","","GO:0031424","2.1364516253185086","0"
"11","11","STRING Clusters","","Mixed, incl. Ichthyosis vulgaris, and Bullous congenital ichthyosiform erythroderma","5.09E-20","KRT1|DSG1|DSC1|KRT10|KRT2|KRT77|LOR|IVL|FLG|CDSN|FLG2","128","376|307|388|259|358|466|331|301|313|433|295","7.79E-23","","CL:34189","1.929328221766324","0"
"293","21","TISSUES","","Epidermis","2.12E-19","KRT14|TGM1|KRT5|DSG1|PKP1|CSTA|KRT10|SPRR1B|KRT2|PSAPL1|KLK5|DSC3|LOR|SPRR2E|SPRR1A|IVL|FLG|CDSN|FLG2|CASP14|LCE6A","128","217|265|337|307|319|442|259|271|358|1489|253|277|331|382|247|301|313|433|295|409|367","8.75E-23","","BTO:0000404","1.8673664139071249","0"
"1151","31","TISSUES","","Skin","7.72E-19","KRT14|TGM1|KRT5|KRT1|DSG1|DSC1|IL36RN|PKP1|CSTA|KRT10|GSDMC|SPRR1B|KRT2|PSAPL1|IL20RB|KLK5|SERPINA12|AHNAK2|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|WFDC5|CDSN|FLG2|CASP14|LCE6A","128","217|265|337|376|307|388|760|319|442|259|1462|271|358|1489|1480|253|1036|1504|277|331|400|382|424|247|301|313|907|433|295|409|367","6.36E-22","","BTO:0001253","1.8112382699664262","0"
"617","24","GO Biological Process","","Epithelial cell differentiation","9.62E-17","KRT14|TGM1|KRT5|KRT1|CSTA|KRT10|SCEL|KRT78|SPRR1B|KRT2|PSAPL1|KLK5|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|CASP14|LCE6A","128","217|265|337|376|442|259|352|475|271|358|1489|253|466|394|331|400|382|424|247|301|313|433|409|367","3.68E-20","","GO:0030855","1.6016824927962188","0"
"70","13","Monarch Phenotype","","Abnormal epidermal morphology","4.07E-15","TGM1|KRT1|DSG1|IL36RN|PKP1|CSTA|KRT10|KRT2|DSC3|FLG|CDSN|FLG2|CASP14","128","265|376|307|760|319|442|259|358|277|313|433|295|409","3.34E-19","","HP:0011124","1.439040559077478","0"
"37","11","GO Biological Process","","Peptide cross-linking","5.26E-15","TGM1|KRT1|CSTA|KRT10|SPRR1B|KRT2|LOR|SPRR2E|SPRR1A|IVL|FLG","128","265|376|442|259|271|358|331|382|247|301|313","2.35E-18","","GO:0018149","1.427901425584626","0"
"37","11","GO Molecular Function","","Structural constituent of skin epidermis","1.16E-14","KRT5|KRT1|PKP1|KRT10|KRT78|KRT2|KRT77|LOR|SPRR2E|SPRR1A|FLG","128","337|376|319|259|475|358|466|331|382|247|313","2.35E-18","","GO:0030280","1.393554201077308","0"
"2112","34","TISSUES","","Integument","1.71E-14","KRT14|TGM1|KRT5|KRT1|DSG1|DSC1|IL36RN|PKP1|CSTA|KRT10|GSDMC|SPRR1B|KRT2|PSAPL1|IL20RB|KLK5|SERPINA12|AHNAK2|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|WFDC5|CDSN|SERPINB5|FLG2|CASP14|LCE6A|GDPD2|KLK11","128","217|265|337|376|307|388|760|319|442|259|1462|271|358|1489|1480|253|1036|1504|277|331|400|382|424|247|301|313|907|433|283|295|409|367|1474|865","2.11E-17","","BTO:0000634","1.3767003889607845","0"
"518","21","DISEASES","","Skin disease","2.89E-14","KRT14|TGM1|KRT5|KRT1|DSG3|DSG1|DSC1|IL36RN|CSTA|KRT10|KRT2|ALOXE3|KLK5|KRT77|DSC3|LOR|IVL|FLG|CDSN|FLG2|CASP14","128","217|265|337|376|325|307|388|760|442|259|358|448|253|466|277|331|301|313|433|295|409","6.28E-18","","DOID:37","1.3539102157243452","0"
"1069","26","GO Biological Process","","Epithelium development","9.73E-14","KRT14|TGM1|KRT5|KRT1|CSTA|KRT10|SCEL|KRT78|SPRR1B|KRT2|PSAPL1|KLK5|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A","128","217|265|337|376|442|259|352|475|271|358|1489|253|466|394|331|400|382|424|247|301|313|433|283|295|409|367","4.96E-17","","GO:0060429","1.3011887159731648","0"
"38","10","UniProt Keywords","","Keratinization","1.73E-13","TGM1|SPRR1B|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|LCE6A","128","265|271|394|331|400|382|424|247|301|367","2.57E-16","","KW-0417","1.2761953896871205","0"
"30","9","DISEASES","","Ichthyosis","4.85E-12","TGM1|KRT1|KRT10|KRT2|ALOXE3|LOR|FLG|FLG2|CASP14","128","265|376|259|358|448|331|313|295|409","3.16E-15","","DOID:1697","1.1314258261397736","0"
"355","17","Monarch Phenotype","","Epidermal thickening","6.79E-12","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|ZNF750|KRT10|KRT2|ALOXE3|SERPINA12|DSC3|LOR|FLG|FLG2","128","217|265|337|376|307|760|319|442|220|259|358|448|1036|277|331|313|295","1.11E-15","","HP:0011368","1.1168130225719497","0"
"44","9","UniProt Keywords","","Ichthyosis","2.15E-11","TGM1|KRT1|CSTA|KRT10|KRT2|ALOXE3|LOR|FLG|CASP14","128","265|376|442|259|358|448|331|313|409","6.39E-14","","KW-0977","1.0667561540084394","0"
"197","13","TISSUES","","Epidermal cell","4.84E-11","KRT14|TGM1|KRT5|DSG1|CSTA|KRT10|SPRR1B|DSC3|SPRR2E|SPRR1A|IVL|FLG2|CASP14","128","217|265|337|307|442|259|271|277|382|247|301|295|409","7.98E-14","","BTO:0001470","1.0315154638355586","0"
"113","11","TISSUES","","Keratinocyte","7.11E-11","TGM1|DSG1|CSTA|KRT10|SPRR1B|DSC3|SPRR2E|SPRR1A|IVL|FLG2|CASP14","128","265|307|442|259|271|277|382|247|301|295|409","1.47E-13","","BTO:0000667","1.0148130399270232","0"
"1723","28","GO Biological Process","","Tissue development","8.5E-11","KRT14|TGM1|KRT5|KRT1|CSTA|ZNF750|KRT10|SCEL|KRT78|SPRR1B|KRT2|PSAPL1|KLK5|KRTDAP|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A","128","217|265|337|376|442|220|259|352|475|271|358|1489|253|289|466|394|331|400|382|424|247|301|313|433|283|295|409|367","4.88E-14","","GO:0009888","1.0070581074285707","0"
"238","14","Monarch Phenotype","","Hyperkeratosis","1.08E-10","KRT14|TGM1|KRT5|KRT1|DSG1|PKP1|CSTA|ZNF750|KRT10|KRT2|ALOXE3|SERPINA12|DSC3|LOR","128","217|265|337|376|307|319|442|220|259|358|448|1036|277|331","3.53E-14","","HP:0000962","0.996657624451305","0"
"153","12","Monarch Phenotype","","Palmoplantar hyperkeratosis","2.82E-10","KRT14|TGM1|KRT5|KRT1|DSG1|PKP1|CSTA|KRT10|KRT2|ALOXE3|SERPINA12|LOR","128","217|265|337|376|307|319|442|259|358|448|1036|331","1.15E-13","","HP:0000972","0.9549750891680638","0"
"6","6","STRING Clusters","","Ichthyosis vulgaris, and Epidermolytic acanthoma","3.87E-10","KRT1|KRT10|LOR|IVL|FLG|FLG2","128","376|259|331|301|313|295","6.77E-13","","CL:34191","0.941228903498109","0"
"7","6","TISSUES","","Stratum corneum","4.35E-10","KLK5|LOR|IVL|FLG|CDSN|FLG2","128","253|331|301|313|433|295","1.25E-12","","BTO:0000344","0.9361510743045363","0"
"32","8","Monarch Phenotype","","Scaling skin","6.37E-10","TGM1|KRT1|PKP1|CSTA|KRT10|CDSN|FLG2|CASP14","128","265|376|319|442|259|433|295|409","4.18E-13","","HP:0040189","0.9195860567664649","0"
"41","8","STRING Clusters","","Mixed, incl. Pachyonychia congenita, and Netherton syndrome","1.22E-9","KRT14|KRT5|KRT78|KLK5|KRTDAP|SERPINB5|SBSN|KPRP","128","217|337|475|253|289|283|343|649","2.4E-12","","CL:34245","0.8913640169325252","0"
"99","10","Monarch Phenotype","","Erythema","1.77E-9","KRT14|TGM1|KRT5|KRT1|IL36RN|CSTA|KRT10|KRT2|ALOXE3|CDSN","128","217|265|337|376|760|442|259|358|448|433","1.45E-12","","HP:0010783","0.8752026733638193","0"
"145","11","Monarch Phenotype","","Palmoplantar keratoderma","2.07E-9","KRT14|TGM1|KRT5|KRT1|DSG1|PKP1|CSTA|KRT10|KRT2|ALOXE3|SERPINA12","128","217|265|337|376|307|319|442|259|358|448|1036","1.87E-12","","HP:0000982","0.8684029654543082","0"
"51","8","TISSUES","","Prepuce","3.49E-9","DSG1|DSC1|KRT10|SCEL|DSC3|LOR|FLG|CDSN","128","307|388|259|352|277|331|313|433","1.15E-11","","BTO:0001113","0.845717457304082","0"
"27","7","STRING Clusters","","Keratinization","4.86E-9","SPRR1B|LCE1B|SPRR2G|SPRR2E|SPRR2B|SPRR1A|LCE6A","128","271|394|400|382|424|247|367","1.06E-11","","CL:34123","0.8313363730737706","0"
"74","9","DISEASES","","Dermatitis","5.07E-9","KRT14|KRT5|DSG3|DSG1|DSC1|IL36RN|DSC3|FLG|FLG2","128","217|337|325|307|388|760|277|313|295","4.41E-12","","DOID:2723","0.8294992040666663","0"
"76","9","Monarch Phenotype","","Abnormal blistering of the skin","5.59E-9","KRT14|KRT5|KRT1|DSG1|PKP1|CSTA|KRT10|KRT2|DSC3","128","217|337|376|307|319|442|259|358|277","5.5E-12","","HP:0008066","0.8252588192113576","0"
"524","16","Monarch Phenotype","","Abnormality of skin physiology","6.24E-9","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|ZNF750|KRT10|ALOXE3|SERPINA12|SPRR2E|FLG|CDSN|FLG2","128","217|265|337|376|307|760|319|442|220|259|448|1036|382|313|433|295","6.64E-12","","HP:0011122","0.8204815410317575","0"
"5","5","TISSUES","","Corneocyte","1.42E-8","LOR|IVL|FLG|CDSN|FLG2","128","331|301|313|433|295","6.42E-11","","BTO:0001943","0.7847711655616944","0"
"339","13","Monarch Phenotype","","Abnormal skin morphology of the palm","4.81E-8","KRT14|TGM1|KRT5|KRT1|DSG1|PKP1|CSTA|KRT10|KRT2|ALOXE3|SERPINA12|LOR|FLG","128","217|265|337|376|307|319|442|259|358|448|1036|331|313","5.52E-11","","HP:0040211","0.7317854923626168","0"
"8","5","TISSUES","","Stratum basale","6.58E-8","KRT14|KRT5|KRT10|LOR|IVL","128","217|337|259|331|301","3.25E-10","","BTO:0004680","0.7181774106386045","0"
"39","7","Monarch Phenotype","","Epidermal acanthosis","8.35E-8","TGM1|KRT1|DSG1|IL36RN|CSTA|KRT10|DSC3","128","265|376|307|760|442|259|277","1.03E-10","","HP:0025092","0.7078313524516398","0"
"113","9","Monarch Phenotype","","Nail dystrophy","1.14E-7","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|LOR","128","217|265|337|376|307|760|319|442|331","1.49E-10","","HP:0008404","0.6943095148663527","0"
"479","14","Monarch Phenotype","","Inflammatory abnormality of the skin","2.1E-7","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|ZNF750|KRT10|ALOXE3|SERPINA12|SPRR2E|FLG","128","217|265|337|376|307|760|319|442|220|259|448|1036|382|313","2.93E-10","","HP:0011123","0.6677780705266081","0"
"23","6","COMPARTMENTS","","Desmosome","3.84E-7","DSG3|DSG1|DSC1|PKP1|DSC3|CDSN","128","325|307|388|319|277|433","3.34E-10","","GOCC:0030057","0.6415668775632469","0"
"26","6","Monarch Phenotype","","Congenital ichthyosiform erythroderma","4.29E-7","TGM1|KRT1|KRT10|KRT2|ALOXE3|LOR","128","265|376|259|358|448|331","6.33E-10","","HP:0007431","0.6367542707815276","0"
"25","6","GO Cellular Component","","Desmosome","5.28E-7","DSG3|DSG1|DSC1|PKP1|DSC3|CDSN","128","325|307|388|319|277|433","5.15E-10","","GO:0030057","0.6277366077466188","0"
"29","6","COMPARTMENTS","","Keratin filament","8.63E-7","KRT14|KRT5|KRT1|KRT10|KRT2|KRT77","128","217|337|376|259|358|466","1.13E-9","","GOCC:0045095","0.606398920428479","0"
"100","8","GO Cellular Component","","Keratin filament","1.11E-6","KRT14|KRT5|KRT1|KRT10|KRT78|KRT2|KRT77|CASP14","128","217|337|376|259|475|358|466|409","1.62E-9","","GO:0045095","0.5954677021213343","0"
"4","4","TISSUES","","Stratum granulosum","1.14E-6","LOR|IVL|FLG|FLG2","128","331|301|313|295","6.09E-9","","BTO:0000361","0.5943095148663528","0"
"75","7","UniProt Keywords","","Intermediate filament","1.5E-6","KRT14|KRT5|KRT1|KRT10|KRT78|KRT2|KRT77","128","217|337|376|259|475|358|466","6.68E-9","","KW-0403","0.5823908740944319","0"
"392","12","Monarch Phenotype","","Abnormality of the nail","2.26E-6","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|ALOXE3|DSC3|LOR|CDSN","128","217|265|337|376|307|760|319|442|448|277|331|433","3.89E-9","","HP:0001597","0.5645891560852598","0"
"40","6","DISEASES","","Bullous skin disease","5.6E-6","KRT14|KRT5|DSG3|DSG1|DSC1|DSC3","128","217|337|325|307|388|277","6.32E-9","","DOID:8502","0.52518119729938","0"
"4","4","DISEASES","","Subcorneal pustular dermatosis","5.6E-6","DSG3|DSG1|DSC1|DSC3","128","325|307|388|277","6.09E-9","","DOID:8508","0.52518119729938","0"
"69","7","GO Biological Process","","Intermediate filament organization","6.11E-6","KRT14|KRT5|KRT1|PKP1|KRT78|KRT2|KRT77","128","217|337|376|319|475|358|466","3.9E-9","","GO:0045109","0.5213958789757446","0"
"81","7","COMPARTMENTS","","Intermediate filament","6.32E-6","KRT14|KRT5|KRT1|PKP1|KRT10|KRT2|KRT77","128","217|337|376|319|259|358|466","1.1E-8","","GOCC:0005882","0.5199282921717615","0"
"133","8","Monarch Phenotype","","Ichthyosis","7.46E-6","TGM1|KRT1|CSTA|KRT10|KRT2|ALOXE3|LOR|FLG","128","265|376|442|259|358|448|331|313","1.34E-8","","HP:0008064","0.5127261172527331","0"
"7","4","STRING Clusters","","Mixed, incl. PLAC8 family, and Cornified envelope assembly","1.09E-5","KRT78|KRTDAP|SBSN|KPRP","128","475|289|343|649","2.85E-8","","CL:34301","0.49625735020593764","0"
"207","9","GO Cellular Component","","Intermediate filament","1.18E-5","KRT14|KRT5|KRT1|PKP1|KRT10|KRT78|KRT2|KRT77|CASP14","128","217|337|376|319|259|475|358|466|409","2.32E-8","","GO:0005882","0.4928117992693875","0"
"62","7","InterPro Domains","","Intermediate filament protein, conserved site","1.4E-5","KRT14|KRT5|KRT1|KRT10|KRT78|KRT2|KRT77","128","217|337|376|259|475|358|466","1.96E-9","","IPR018039","0.4853871964321762","0"
"8","4","STRING Clusters","","Small proline-rich 2, and Cornifin (SPRR) family","1.5E-5","SPRR1B|SPRR2E|SPRR2B|SPRR1A","128","271|382|424|247","4.27E-8","","CL:34156","0.4823908740944319","0"
"73","7","InterPro Domains","","Intermediate filament, rod domain","2.01E-5","KRT14|KRT5|KRT1|KRT10|KRT78|KRT2|KRT77","128","217|337|376|259|475|358|466","5.61E-9","","IPR039008","0.46968039425795116","0"
"99","7","Monarch Phenotype","","Pruritus","2.14E-5","KRT14|TGM1|KRT5|PKP1|ALOXE3|CDSN|FLG2","128","217|265|337|319|448|433|295","4.04E-8","","HP:0000989","0.4669586226650809","0"
"26","5","Monarch Phenotype","","Parakeratosis","2.14E-5","TGM1|KRT5|IL36RN|LOR|FLG2","128","265|337|760|331|295","4.12E-8","","HP:0001036","0.4669586226650809","0"
"59","6","DISEASES","","Keratosis","3.49E-5","KRT14|KRT5|KRT1|DSG1|KRT2|LOR","128","217|337|376|307|358|331","5.32E-8","","DOID:161","0.445717457304082","0"
"9","4","DISEASES","","Acanthoma","3.53E-5","KRT14|KRT5|KRT1|KRT10","128","217|337|376|259","6.15E-8","","DOID:174","0.44522252946121776","0"
"1648","20","Monarch Phenotype","","Abnormality of skin morphology","4.26E-5","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|ZNF750|KRT10|KRT2|ALOXE3|SERPINA12|DSC3|LOR|FLG|CDSN|FLG2|CASP14|CDHR1","128","217|265|337|376|307|760|319|442|220|259|358|448|1036|277|331|313|433|295|409|1402","8.72E-8","","HP:0011121","0.43705904008972807","0"
"11","4","Monarch Phenotype","","Palmoplantar blistering","5.48E-5","KRT14|KRT5|KRT1|DSG1","128","217|337|376|307","1.17E-7","","HP:0007446","0.42612194415156307","0"
"11","4","Monarch Phenotype","","Orthokeratosis","5.48E-5","DSG1|CSTA|LOR|FLG2","128","307|442|331|295","1.17E-7","","HP:0040162","0.42612194415156307","0"
"26","5","InterPro Domains","","Keratin, type II","6.83E-5","KRT5|KRT1|KRT78|KRT2|KRT77","128","337|376|475|358|466","4.12E-8","","IPR003054","0.4165579296318468","0"
"7","4","InterPro Domains","","Desmosomal cadherin","6.83E-5","DSG3|DSG1|DSC1|DSC3","128","325|307|388|277","2.85E-8","","IPR009122","0.4165579296318468","0"
"25","5","InterPro Domains","","Keratin type II head","6.83E-5","KRT5|KRT1|KRT78|KRT2|KRT77","128","337|376|475|358|466","3.46E-8","","IPR032444","0.4165579296318468","0"
"1888","21","Monarch Phenotype","","Abnormality of the skin","7.05E-5","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|ZNF750|KRT10|KRT2|ALOXE3|SERPINA12|DSC3|LOR|SPRR2E|FLG|CDSN|FLG2|CASP14|CDHR1","128","217|265|337|376|307|760|319|442|220|259|358|448|1036|277|331|382|313|433|295|409|1402","1.62E-7","","HP:0000951","0.41518108830086015","0"
"144","7","UniProt Keywords","","Keratin","7.69E-5","KRT14|KRT5|KRT1|KRT10|KRT78|KRT2|KRT77","128","217|337|376|259|475|358|466","4.58E-7","","KW-0416","0.4114073660198569","0"
"25","5","Pfam","","Keratin type II head","8.0E-5","KRT5|KRT1|KRT78|KRT2|KRT77","128","337|376|475|358|466","3.46E-8","","PF16208","0.4096910013008056","0"
"3","3","TISSUES","","HaCaT cell","1.0E-4","IVL|FLG|FLG2","128","301|313|295","5.84E-7","","BTO:0000552","0.4","0"
"3","3","TISSUES","","Stratified epithelium","1.0E-4","KRT14|KRT5|KRT10","128","217|337|259","5.84E-7","","BTO:0002074","0.4","0"
"71","6","SMART Domains","","Intermediate filament protein","1.2E-4","KRT14|KRT5|KRT1|KRT10|KRT78|KRT2","128","217|337|376|259|475|358","1.48E-7","","SM01391","0.39208187539523753","0"
"161","7","TISSUES","","Tongue","1.4E-4","KRT1|DSG3|CSTA|KRT78|SPRR1B|SPRR2B|SBSN","128","376|325|442|475|271|424|343","9.4E-7","","BTO:0001385","0.38538719643217617","0"
"15","4","DISEASES","","Pemphigus","1.5E-4","DSG3|DSG1|DSC1|DSC3","128","325|307|388|277","3.29E-7","","DOID:9182","0.38239087409443184","0"
"4175","31","GO Cellular Component","","Extracellular region","1.8E-4","KRT14|TGM1|CPA4|KRT5|KRT1|DSG3|DSC1|IL36RN|CSTA|KRT10|SCEL|KRT78|KRT2|PSAPL1|KLK5|KRTDAP|SERPINA12|KRT77|AADACL2|DSC3|SPRR2B|IVL|WFDC5|LY6G6C|CDSN|SERPINB5|FLG2|BPIFC|SBSN|KLK11|KPRP","128","217|265|1459|337|376|325|388|760|442|259|352|475|358|1489|253|289|1036|466|1156|277|424|301|907|1411|433|283|295|1429|343|865|649","5.3E-7","","GO:0005576","0.3744727494896694","0"
"3","3","DISEASES","","Bullous congenital ichthyosiform erythroderma","2.3E-4","KRT1|KRT10|KRT2","128","376|259|358","5.84E-7","","DOID:0060877","0.36382721639824067","0"
"3","3","DISEASES","","Ichthyosis vulgaris","2.3E-4","LOR|FLG|FLG2","128","331|313|295","5.84E-7","","DOID:1702","0.36382721639824067","0"
"46","5","DISEASES","","Palmoplantar keratosis","2.3E-4","KRT14|KRT1|DSG1|KRT2|LOR","128","217|376|307|358|331","5.42E-7","","DOID:3390","0.36382721639824067","0"
"3","3","DISEASES","","Borst-Jadassohn intraepidermal carcinoma","2.3E-4","KRT14|KRT5|KRT1","128","217|337|376","5.84E-7","","DOID:7039","0.36382721639824067","0"
"5544","36","GO Cellular Component","","Plasma membrane","2.5E-4","TGM1|KRT1|DSG3|DSG1|DSC1|PKP1|CSTA|KRT10|GSDMC|SCEL|SPRR1B|KRT2|ARHGEF4|IL20RB|SERPINA12|KRT77|AHNAK2|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|GOLGA7B|LY6G6C|CDSN|SERPINB5|FLG2|PLA2G4E|NSG1|CASP14|CAPNS2|GDPD2|CDHR1","128","265|376|325|307|388|319|442|259|1462|352|271|358|1456|1480|1036|466|1504|277|331|400|382|424|247|301|313|1477|1411|433|283|295|1453|1492|409|1495|1474|1402","8.38E-7","","GO:0005886","0.3602059991327963","0"
